Metric,Current_Result,Proposal_Target,Pass_Fail,Historical_Baseline,Baseline_Comparable,Notes
Regulatory corpus reproducibility (new 2026-07-22 finding),Fixed: all sources pinned to models/regulatory_cache/,N/A (infrastructure),FIXED,N/A,No,"A live run this session found the 'EU Consumer Credit Directive' source returning 0 usable chunks and 'FTC Negative Option Rule' only 4, purely from live-fetch inconsistency. Direct investigation found eur-lex.europa.eu now serves an AWS WAF JS bot-challenge to non-browser clients on every endpoint tried -- that source has likely been silently near-dead for a while, not just this run. Removed the dead EU source and pinned every remaining source to a local cache (configs/regulatory_sources.yaml) so future runs no longer depend on live-fetch success, removing a real, previously undiagnosed source of RQ2/RQ3 run-to-run variance -- though it did not, by itself, close the underlying coverage gap above."
Retrieval Recall@20 (pre-rerank; FLB, 2026-07-22 final run),0.066,N/A (no explicit target),N/A,0.115 (2026-07-21, differs in k),No,"Same order of magnitude as before (small run-to-run swings observed: 0.071-0.115 across three runs this session at various k), consistent with the corpus-scale finding above -- the new sources were too small to move this number meaningfully."
Retrieval Recall@8 (pre-rerank; FLB, historical),0.115,N/A (no explicit target),N/A,0.753 (FinanceBench corpus),No,Different corpus (FinanceBench financial-QA vs FLB regulatory-compliance); not apples-to-apples
Retrieval Recall@5 (post-rerank; FLB, historical),0.082,N/A (no explicit target),N/A,0.697 (FinanceBench corpus),No,"Same caveat as above; FLB recall@5 vastly lower than FinanceBench recall@5 (0.70) with the IDENTICAL stack -- confirms FLB's own corpus/query match, not the retrieval architecture, is the bottleneck"
FaithBench Verifier Accuracy (Verifier v3 vs base DeBERTa),"+0.038 over base (p=0.02, CI [0.006,0.072])",N/A (comparative),PASS (real improvement),0.50 accuracy both configs (degenerate),Yes,"Genuine before/after win -- baseline explicitly found both configs completely broken; v3 fixes this. Cleanest, best-supported result in the submission"
Multi-verifier: DeBERTa v3 (deployed),0.937 / 0.648 precision/recall,Best of 3 verifiers,PASS (best of 2 run; GPT judge skipped),N/A,No,Matched 5000-sample training budget vs ModernBERT for fairness
Multi-verifier: ModernBERT (comparator),0.0 / 0.0 (degenerate),N/A,FAIL,N/A,No,"Lacks NLI-specific pretraining; real, reproducible finding"
Ablations (6 pipeline variants + 5 baselines),COMPLETE: full/no_s6/no_s4_reranking/bm25/zero_shot/simplification_only + rule_based/plain_rag/finbert/ragas_style/selfcheckgpt_style,~10 required per proposal,COMPLETE,N/A,No,Finished overnight; completing full run surfaced and fixed 4 real defects (wrong CUAD schema + safe_policy violation in the FinBERT baseline; hardcoded-OpenAI dependency in RAGAS-style; backend-routing gap in SelfCheckGPT; a deleted-but-live calibration file) -- see submission_manifest.json incidents #29-34
FinBERT baseline (frozen embeddings + logistic regression),Macro-F1 0.69 (beats deployed S5's 0.56),N/A (comparator),Informative,N/A,No,"Verified NOT a train/eval leakage artifact via the codebase's deterministic document-hash train/test partition; reinforces that S5's 'no fine-tuning' constraint has a real, measurable cost"
RAGAS-style paragraph judge (comparator),P 0.689 / R 0.560,N/A (comparator),Deployed verifier wins,N/A,No,Deployed verifier's secondary metric (0.906/0.637) beats this baseline
SelfCheckGPT-style comparator (n=5 samples),P 0.849 / R 0.495,N/A (comparator),Deployed verifier wins,N/A,No,Deployed verifier's secondary metric (0.906/0.637) beats this baseline too
Reranker comparison (L-6 vs L-12),Complete: L-12 wins MRR/nDCG/hit@1 tied recall@5 (1.8x latency),Required per proposal,COMPLETE,L-12 best MRR/nDCG (FinanceBench corpus),Yes,"Validates deployed L-12 choice with a modest, genuine quality edge"
Retrieval-query-mode ablation,Complete (on FinanceBench): original query mode beats simplified on recall,Required per proposal,COMPLETE,Original query best (FinanceBench corpus),Yes,Confirms simplification measurably strips retrieval-relevant terms; also cross-corpus evidence for the RQ3 retrieval bottleneck
S2/S5 Model Identity,Qwen2.5-1.5B-Instruct (not Mistral-7B as originally specified),Mistral-7B,DEVIATION (disclosed),N/A,No,Hardware-constrained backend substitution; ~4.7x smaller parameter count than proposal spec; corrected in submission_manifest.json after an earlier draft incorrectly claimed Mistral
